longitude,latitude,ObsEasting,ObsNorthing,ObsUpwarding,CalcEasting,CalcNorthing,CalcUpwarding
(deg),(deg),(m),(m),(m),(m),(m),(m)
     134.560139,      34.059906,       0.031500,       0.025300,      -0.023800,       0.060108,       0.010330,      -0.005241
     136.145038,      34.986384,       0.048700,       0.029000,       0.007100,       0.107044,       0.017646,      -0.007532
     137.851122,      36.499766,       0.180700,       0.026200,      -0.005000,       0.332497,       0.017991,      -0.005561
     135.380381,      34.724250,       0.043500,       0.007600,       0.013600,       0.085748,       0.013703,      -0.005239
     140.464031,      37.444871,       1.535000,      -0.032200,      -0.188900,       1.909687,      -0.146743,      -0.417179
     137.033941,      37.432258,       0.213800,       0.002700,       0.012800,       0.320015,      -0.018775,       0.018654
     141.030915,      43.177853,       0.025700,      -0.037200,      -0.018200,       0.075855,      -0.085803,      -0.022173
     130.198247,      30.461389,      -0.031000,      -0.015300,       0.023300,       0.016227,       0.002926,      -0.003292
     144.029775,      44.063872,       0.000000,       0.008200,      -0.025700,       0.008657,      -0.004124,      -0.035472
     130.335960,      32.793014,       0.055600,       0.039000,       0.031600,       0.029458,       0.004092,      -0.001069
     139.157225,      35.610274,       0.107500,       0.043200,      -0.042600,       0.311923,       0.068089,      -0.069387
     133.527984,      34.548797,       0.047600,       0.002600,      -0.028300,       0.063691,       0.008069,      -0.000763
     139.542301,      36.295162,       0.337500,       0.085000,      -0.026500,       0.696800,       0.024262,      -0.138499
     139.653747,      35.436484,       0.133700,       0.060400,      -0.007600,       0.279908,       0.080268,      -0.097732
     139.142414,      35.268600,       0.078300,       0.015600,      -0.034500,       0.207928,       0.056579,      -0.061605
     137.814478,      35.777534,       0.108000,       0.040400,       0.042500,       0.229470,       0.033154,      -0.017328
     135.907639,      35.534409,       0.075200,       0.033500,      -0.013600,       0.130075,       0.015349,      -0.001769
     139.073909,      37.752064,       0.596400,      -0.039500,       0.036200,       0.840594,      -0.096110,      -0.005477
     144.115255,      43.828078,       0.005900,       0.008300,      -0.047000,       0.008091,      -0.002685,      -0.038651
     139.612852,      33.884124,      -0.002000,      -0.010300,      -0.028100,       0.030635,       0.003273,      -0.052425
     141.739846,      39.023782,       3.594800,      -2.004100,      -0.702500,       4.710504,      -1.532533,      -1.322174
     132.339820,      34.397048,       0.032200,       0.013400,      -0.001200,       0.052906,       0.005914,       0.000391
